trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 0.999000499833375}",20,0,-139.02526329906925,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.001, 'e': 0.9980019986673331}",20,0,-137.2778216505356,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
3,False,"{'a': 0.001, 'e': 0.997004495503373}",20,0,1.2349264729380924,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.001, 'e': 0.9960079893439915}",20,0,-179.5993016954513,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
5,False,"{'a': 0.001, 'e': 0.9950124791926823}",20,0,-135.67810591853885,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.001, 'e': 0.9940179640539353}",20,0,-27.544843746109553,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.001, 'e': 0.9930244429332351}",25,8,-108.68698205935064,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 2}",1
8,False,"{'a': 0.001, 'e': 0.9920319148370607}",30,0,-63.28491148318599,"{0: 19, 1: 6, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.001, 'e': 0.9910403787728836}",20,0,-117.32356241524334,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
10,False,"{'a': 0.001, 'e': 0.9900498337491681}",20,0,-88.33621595870316,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.001, 'e': 0.9890602787753687}",35,0,-218.5932830449942,"{0: 20, 1: 3, 2: 7, 3: 2, 4: 3}",0
12,False,"{'a': 0.001, 'e': 0.9880717128619305}",30,0,-257.05400277194025,"{0: 17, 1: 3, 2: 3, 3: 3, 4: 4}",0
13,False,"{'a': 0.001, 'e': 0.9870841350202876}",25,0,-135.76770497551306,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
14,False,"{'a': 0.001, 'e': 0.9860975442628619}",25,0,-114.41249586280317,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.001, 'e': 0.9851119396030626}",20,0,-42.33249929184073,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.001, 'e': 0.9841273200552851}",20,0,-29.84432790219814,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.001, 'e': 0.9831436846349096}",20,0,-13.047507180461722,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.001, 'e': 0.9821610323583008}",20,0,-91.96851413134979,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.001, 'e': 0.981179362242806}",30,0,-120.42352100796643,"{0: 15, 1: 4, 2: 10, 3: 1, 4: 0}",0
20,False,"{'a': 0.001, 'e': 0.9801986733067553}",20,0,-177.40525378022744,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 4}",0
21,False,"{'a': 0.001, 'e': 0.9792189645694596}",20,0,-95.76268251301873,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.001, 'e': 0.97824023505121}",25,0,-256.5492806422005,"{0: 12, 1: 3, 2: 3, 3: 3, 4: 4}",0
23,False,"{'a': 0.001, 'e': 0.9772624837732771}",20,0,-179.74573134568212,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
24,False,"{'a': 0.001, 'e': 0.9762857097579093}",25,0,-155.4142727091167,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
25,False,"{'a': 0.001, 'e': 0.9753099120283326}",35,0,-159.26762858522028,"{0: 20, 1: 6, 2: 7, 3: 0, 4: 2}",0
26,False,"{'a': 0.001, 'e': 0.9743350896087494}",20,7,-32.11271670080136,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
27,False,"{'a': 0.001, 'e': 0.9733612415243368}",30,0,-184.7184154982649,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
28,False,"{'a': 0.001, 'e': 0.9723883668012469}",20,0,-67.68467871903768,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.001, 'e': 0.9714164644666048}",20,0,-36.733469108698515,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
30,False,"{'a': 0.001, 'e': 0.9704455335485082}",20,0,-111.55419597250325,"{0: 10, 1: 3, 2: 3, 3: 4, 4: 0}",0
